token,rating-human,specificity1,specificity2,specificity3
barbershop,4.85,3.3703959149079794,3.396650494750662,2.428571428571429
pictures,4.71,2.7011430998806576,2.66671009867297,2.0
ornithology,3.0,3.5514630354737595,3.5909058432292658,2.7142857142857144
interconnection,2.14,3.008261673776419,2.998447196503588,1.8571428571428572
occultism,2.21,3.0987952340593092,3.097190304291201,2.0
radicalism,1.56,3.008261673776419,2.998447196503588,2.0
quadruplet,4.36,3.0987952340593092,3.097190304291201,2.0
doorframe,4.79,3.1893287943421993,3.1991642791754358,2.142857142857143
talkativeness,2.96,2.8271945532106395,2.8009609809283624,1.7142857142857144
storminess,3.19,3.0696499374729243,3.0686329908144994,2.2857142857142856
motorbus,4.92,3.008261673776419,3.00167806360021,2.142857142857143
recipe,4.43,2.9177281134935296,2.8997040887159753,1.7142857142857144
cryptogram,3.92,2.9177281134935296,2.8997040887159753,1.7142857142857144
payroll,3.7,3.008261673776419,2.998447196503588,1.8571428571428572
melancholia,2.27,3.0987952340593092,3.097190304291201,2.0
saga,2.19,3.2798623546250893,3.2946765198664267,2.2857142857142856
domination,2.81,2.9177281134935296,2.8997040887159753,2.0
cocktail,4.4,3.669116854587349,3.4318684838794207,3.5714285714285716
rattail,4.65,3.8230637163224293,3.8903660336887262,3.142857142857143
amulet,4.0,2.7366609929277494,2.7054487402373715,1.5714285714285714
holograph,4.27,2.7742358153812323,2.7431999656679418,1.8571428571428572
pump,4.31,2.870328185579122,2.851236821152167,2.2857142857142856
disfigurement,3.52,2.9177281134935296,2.8997040887159753,1.7142857142857144
transgressor,3.21,3.3703959149079794,3.3468115889755135,2.428571428571429
nitroglycerine,4.27,4.00413083688821,4.17779921196802,3.4285714285714284
getup,2.73,3.1363700565127925,3.1414032639150156,2.428571428571429
confessor,3.04,4.00413083688821,4.038013343488804,3.4285714285714284
parallelogram,4.07,2.9351689582667913,2.9187264624119944,2.142857142857143
present,3.39,2.573034717135231,2.523754031261543,1.5714285714285714
conveyor,4.22,3.3703959149079794,3.3468115889755135,2.428571428571429
spyglass,4.79,3.732530156039539,3.7916229259011134,3.0
infarction,2.15,3.1893287943421993,3.195933412078814,2.2857142857142856
swarm,3.97,3.008261673776419,2.998447196503588,1.8571428571428572
sleepyhead,3.39,3.1893287943421993,3.1493253734002877,2.142857142857143
house,5.0,2.7450905188039005,2.71464265219124,2.2857142857142856
birthday,3.2,3.1893287943421993,3.195933412078814,2.142857142857143
panties,4.9,3.5514630354737595,3.5941367103258877,2.7142857142857144
asteroid,4.86,3.008261673776419,3.00167806360021,2.0
empowerment,2.36,2.7588519000234157,2.7264210429347133,2.142857142857143
booster,2.93,2.7742358153812323,2.6965919269894156,2.2857142857142856
diplomat,3.67,3.116236078832571,3.069604639308694,2.571428571428571
aristocracy,2.97,2.8647693756641224,2.841943073455555,2.0
hemophilia,3.22,3.641996595756649,3.6896489510168786,3.142857142857143
faithfulness,1.72,2.5264485757755843,2.4729434769922003,1.5714285714285714
corruptness,1.86,3.0987952340593092,3.097190304291201,2.0
plantain,4.42,3.025702518549681,3.0207004372962296,2.2857142857142856
folder,4.93,3.2269036167956826,3.2401463717026284,2.428571428571429
audiology,2.15,3.641996595756649,3.6896489510168786,2.857142857142857
counteroffer,2.85,2.9177281134935296,2.8997040887159753,1.7142857142857144
displeasure,1.85,3.5514630354737595,3.5909058432292658,2.7142857142857144
width,3.64,2.7742358153812323,2.7431999656679418,1.8571428571428572
monsieur,3.54,3.4609294751908695,3.4455546967631263,2.571428571428571
shinbone,4.8,3.4609294751908695,3.495393602538275,2.571428571428571
disparity,1.78,2.798049256624254,2.7691728003550384,1.8571428571428572
ref,3.93,3.3703959149079794,3.3468115889755135,2.428571428571429
bug,5.0,3.3703959149079794,3.396650494750662,2.428571428571429
future,1.86,2.5931686948154526,2.545713750092716,1.5714285714285714
lawsuit,2.94,2.9351689582667913,2.9187264624119944,2.142857142857143
pronouncement,2.15,2.8647693756641224,2.841943073455555,1.8571428571428572
anime,3.62,3.9135972766053198,4.079056104180408,3.2857142857142856
sailcloth,4.39,3.008261673776419,3.00167806360021,1.8571428571428572
itchiness,3.36,3.0987952340593092,3.097190304291201,2.2857142857142856
metronome,4.27,3.2798623546250893,3.297907386963049,2.2857142857142856
oarsman,3.72,3.1893287943421993,3.1493253734002877,2.428571428571429
image,3.85,2.721277077560879,2.685438950407521,1.8571428571428572
billing,3.54,3.008261673776419,2.998447196503588,2.0
waterworks,4.07,3.2798623546250893,3.2946765198664267,2.2857142857142856
blessedness,1.58,3.0987952340593092,3.097190304291201,2.142857142857143
credentials,3.43,2.707515696341364,2.670429692567426,1.8571428571428572
cradle,4.93,3.2798623546250893,3.297907386963049,2.2857142857142856
breaker,3.85,3.2798623546250893,3.2480684811879006,2.428571428571429
enactment,2.45,3.2798623546250893,3.2946765198664267,2.2857142857142856
bewilderment,2.03,3.1893287943421993,3.195933412078814,2.142857142857143
emigration,2.7,3.2798623546250893,3.2946765198664267,2.2857142857142856
resident,4.03,2.909809791078183,2.8444596972764558,2.2857142857142856
rascal,2.62,3.3703959149079794,3.3468115889755135,2.428571428571429
teleconference,3.59,3.0987952340593092,3.097190304291201,2.0
metaphor,1.94,2.9177281134935296,2.8997040887159753,2.0
cargo,4.62,3.0987952340593092,3.100421171387823,2.0
hailstorm,4.66,3.1893287943421993,3.1991642791754358,2.142857142857143
explosion,4.52,2.6950670127803074,2.6568521673006096,1.8571428571428572
intercourse,3.93,3.008261673776419,2.998447196503588,2.0
interception,2.7,3.0987952340593092,3.097190304291201,2.0
wintertime,3.67,3.008261673776419,2.998447196503588,1.8571428571428572
tiredness,2.68,2.630743517277989,2.5866958426199087,1.7142857142857144
wristband,4.79,3.0987952340593092,3.100421171387823,2.0
occlusion,2.46,2.8543148120413395,2.8305404941288446,2.142857142857143
sidewall,4.91,3.0987952340593092,3.100421171387823,2.0
sinus,4.27,3.0987952340593092,3.100421171387823,2.0
machinery,4.75,2.844635397983901,2.8232142217210034,2.142857142857143
hero,3.07,3.2798623546250893,3.2480684811879006,2.2857142857142856
accreditation,2.68,3.3703959149079794,3.3934196276540396,2.428571428571429
habitability,2.18,3.008261673776419,2.998447196503588,1.8571428571428572
antagonist,2.75,2.9553029359470124,2.8940781425646414,2.142857142857143
courtship,2.52,3.0987952340593092,3.097190304291201,2.142857142857143
brood,2.96,2.8271945532106395,2.8009609809283624,1.7142857142857144
offspring,3.93,2.7916766601635477,2.7156143006854347,2.2857142857142856
stealer,3.63,3.1209861411549755,3.0747854354066386,2.7142857142857144
universe,3.85,2.7366609929277494,2.7054487402373715,1.7142857142857144
task,2.84,2.561864467783713,2.5115708681082087,2.0
tobacco,4.88,3.4317841786044845,3.1730145745303893,3.142857142857143
battleground,4.04,3.0987952340593092,3.100421171387823,2.0
serenity,1.62,3.008261673776419,2.998447196503588,2.0
hummingbird,4.96,3.317437177078572,3.3388894794902413,2.571428571428571
tumor,4.56,2.7689039600378695,2.7373846197817153,2.428571428571429
days,3.36,3.008261673776419,2.998447196503588,1.8571428571428572
tidiness,2.82,2.8647693756641224,2.841943073455555,1.8571428571428572
granny,4.24,3.4609294751908695,3.4455546967631263,2.7142857142857144
blemish,4.07,2.4921805709097793,2.4355680629783927,1.7142857142857144
misunderstanding,1.97,2.9177281134935296,2.8997040887159753,2.0
general,1.62,3.732530156039539,3.7417840201259653,3.142857142857143
copybook,4.67,3.3703959149079794,3.396650494750662,2.428571428571429
sibling,4.37,2.9928777584095494,2.935060235091833,2.2857142857142856
circulation,3.03,3.1893287943421993,3.195933412078814,2.142857142857143
router,4.19,3.3703959149079794,3.3468115889755135,2.428571428571429
crunch,3.36,3.0987952340593092,3.097190304291201,2.0
ottoman,4.9,3.641996595756649,3.6430409123383525,2.857142857142857
