Word,Concreteness,Spec_3,Lg10CD,length,Valence,Arousal,Dominance
affirmative,1.93,2.142857142857143,2.2648,11,0.854,0.589,0.816
affliction,2.27,2.142857142857143,1.7324,10,0.294,0.635,0.392
affluence,2.15,2.0,0.8451,9,0.663,0.618,0.722
affront,1.83,2.142857142857143,1.4472,7,0.327,0.74,0.547
afterlife,1.9,1.8571428571428572,1.7993,9,0.571,0.567,0.568
aftermath,1.97,1.7142857142857144,1.716,9,0.312,0.449,0.444
afternoon,3.7,1.8571428571428572,3.4146,9,0.533,0.388,0.339
aftertaste,2.59,2.2857142857142856,1.0,10,0.354,0.362,0.455
afterthought,2.04,2.142857142857143,1.1139,12,0.396,0.392,0.349
age,2.86,1.5714285714285714,3.3979,3,0.561,0.226,0.498
agency,3.87,2.0,2.7701,6,0.46,0.296,0.583
agenda,2.66,2.0,2.4362,6,0.531,0.296,0.553
agent,3.61,1.4285714285714286,3.1461,5,0.48,0.439,0.755
aggravation,1.53,2.142857142857143,1.6902,11,0.071,0.784,0.613
aggregate,2.14,1.5714285714285714,1.0414,9,0.73,0.378,0.556
aggregation,2.16,1.4285714285714286,0.4771,11,0.583,0.517,0.694
aggression,2.68,2.0,2.0414,10,0.094,0.929,0.533
aggressiveness,2.59,1.7142857142857144,1.2553,14,0.077,0.913,0.648
aggressor,3.29,2.428571428571429,1.3802,9,0.146,0.948,0.823
agility,2.38,2.0,1.2304,7,0.72,0.702,0.815
agitation,2.33,1.8571428571428572,1.3802,9,0.24,0.931,0.447
agnostic,2.0,2.142857142857143,1.2553,8,0.306,0.396,0.574
agony,2.38,2.0,2.2355,5,0.083,0.775,0.393
agoraphobia,1.92,2.428571428571429,0.9031,11,0.127,0.712,0.438
agreement,2.22,1.7142857142857144,2.781,9,0.76,0.44,0.736
agriculture,3.67,2.2857142857142856,1.6128,11,0.64,0.357,0.465
aid,3.1,1.8571428571428572,2.6964,3,0.796,0.491,0.541
aide,3.59,2.7142857142857144,1.9138,4,0.724,0.342,0.434
aids,3.44,3.142857142857143,1.6232,4,0.561,0.48,0.5
ailment,2.93,2.0,1.3802,7,0.146,0.734,0.277
air,4.11,1.7142857142857144,3.5219,3,0.708,0.163,0.427
aircraft,4.4,2.2857142857142856,2.3222,8,0.646,0.644,0.691
airfield,4.7,1.8571428571428572,1.8451,8,0.601,0.65,0.645
airhead,2.48,2.2857142857142856,1.3222,7,0.271,0.481,0.276
airlift,3.62,2.2857142857142856,1.1761,7,0.573,0.622,0.642
airline,4.0,2.428571428571429,2.2788,7,0.65,0.482,0.688
airliner,4.45,2.7142857142857144,1.3802,8,0.667,0.777,0.647
airplane,4.96,2.571428571428571,2.5502,8,0.719,0.702,0.708
airport,4.87,2.0,2.9926,7,0.729,0.684,0.682
airship,4.92,2.571428571428571,1.1461,7,0.542,0.472,0.529
airspace,3.58,2.0,1.716,8,0.562,0.51,0.64
airspeed,3.04,1.8571428571428572,1.2304,8,0.583,0.78,0.544
airstrip,4.68,2.0,1.6128,8,0.55,0.69,0.649
airway,4.34,2.2857142857142856,1.7404,6,0.638,0.585,0.482
aisle,4.35,2.0,2.4548,5,0.438,0.222,0.283
alabaster,3.81,3.0,1.4771,9,0.542,0.404,0.445
alarm,4.47,2.0,2.9538,5,0.241,0.882,0.698
albatross,4.81,2.0,1.301,9,0.5,0.445,0.527
albino,4.41,2.2857142857142856,1.6128,6,0.5,0.24,0.358
album,4.69,2.0,2.4378,5,0.635,0.349,0.453
alchemy,2.1,1.5714285714285714,1.0,7,0.541,0.583,0.693
alcohol,4.76,3.2857142857142856,2.7701,7,0.323,0.667,0.377
alcoholic,3.37,2.7142857142857144,2.3927,9,0.153,0.688,0.361
alcoholism,2.93,2.142857142857143,1.6021,10,0.061,0.779,0.407
alcove,4.08,2.2857142857142856,1.1139,6,0.49,0.34,0.356
ale,4.65,3.7142857142857144,2.0934,3,0.53,0.45,0.358
alertness,2.15,2.0,0.699,9,0.375,0.875,0.75
alfalfa,4.69,2.428571428571429,1.4624,7,0.546,0.25,0.311
algebra,3.14,2.428571428571429,1.8451,7,0.44,0.34,0.565
algorithm,3.07,2.142857142857143,1.3222,9,0.448,0.394,0.559
alias,2.86,1.8571428571428572,2.1931,5,0.541,0.353,0.333
alibi,2.57,2.142857142857143,2.3979,5,0.396,0.528,0.556
alienation,1.73,1.8571428571428572,1.3222,10,0.378,0.53,0.462
alignment,3.26,1.7142857142857144,1.6812,9,0.643,0.412,0.683
alimony,3.08,2.2857142857142856,1.9494,7,0.612,0.477,0.464
allegation,1.79,2.142857142857143,1.3802,10,0.578,0.578,0.608
allegiance,1.77,2.0,2.1106,10,0.917,0.398,0.75
allegory,2.07,2.142857142857143,1.0414,8,0.615,0.58,0.509
allergy,3.68,2.2857142857142856,1.8261,7,0.296,0.606,0.389
alley,4.82,2.2857142857142856,2.7505,5,0.347,0.5,0.355
alleyway,4.3,2.2857142857142856,1.5682,8,0.357,0.471,0.382
alliance,2.5,1.8571428571428572,2.281,8,0.696,0.473,0.769
alligator,4.96,2.7142857142857144,2.1004,9,0.354,0.704,0.645
allocation,2.32,1.8571428571428572,1.0414,10,0.604,0.388,0.679
allotment,2.88,1.8571428571428572,1.2788,9,0.6,0.39,0.64
allowance,3.07,1.8571428571428572,2.2833,9,0.673,0.382,0.591
alloy,4.29,2.142857142857143,1.6628,5,0.583,0.443,0.593
allure,1.92,1.7142857142857144,1.4472,6,0.804,0.585,0.686
allusion,1.58,2.0,0.7782,8,0.44,0.308,0.462
ally,2.61,2.142857142857143,2.5159,4,0.792,0.32,0.688
almanac,4.44,2.7142857142857144,1.4472,7,0.688,0.19,0.412
almond,4.71,2.857142857142857,1.6232,6,0.698,0.183,0.314
aloha,2.59,1.7142857142857144,1.8633,5,0.698,0.44,0.441
alpha,1.81,2.142857142857143,2.3201,5,0.708,0.34,0.755
alphabet,4.31,2.7142857142857144,1.9445,8,0.562,0.204,0.672
altar,4.85,2.2857142857142856,2.2601,5,0.724,0.387,0.635
alteration,3.21,1.7142857142857144,1.4624,10,0.167,0.798,0.609
altercation,3.21,2.2857142857142856,1.4914,11,0.17,0.806,0.5
alternative,2.46,2.0,2.6107,11,0.628,0.373,0.631
altitude,2.96,2.142857142857143,2.1673,8,0.708,0.482,0.736
aluminum,4.88,2.2857142857142856,1.9243,8,0.449,0.28,0.434
amaretto,4.6,3.5714285714285716,1.2553,8,0.543,0.551,0.375
amazement,1.89,1.7142857142857144,1.5441,9,0.75,0.8,0.639
ambassador,4.28,2.7142857142857144,2.356,10,0.651,0.529,0.917
amber,4.35,2.142857142857143,2.0899,5,0.635,0.308,0.369
ambience,1.72,1.7142857142857144,1.5563,8,0.735,0.356,0.426
ambiguity,1.3,1.8571428571428572,1.1461,9,0.164,0.46,0.37
ambition,1.74,1.8571428571428572,2.3692,8,0.51,0.804,0.661
ambulance,4.81,2.857142857142857,2.8621,9,0.5,0.75,0.609
ambush,3.16,2.2857142857142856,2.2923,6,0.281,0.83,0.5
amendment,2.44,2.428571428571429,2.0645,9,0.531,0.459,0.606
amends,1.92,2.428571428571429,1.8573,6,0.64,0.366,0.517
amethyst,4.09,3.0,0.8451,8,0.622,0.406,0.517
amino,2.74,1.7142857142857144,1.3617,5,0.551,0.402,0.433
ammo,4.85,2.0,2.2648,4,0.323,0.765,0.621
ammonia,4.44,2.2857142857142856,1.699,7,0.292,0.587,0.409
ammonium,4.04,2.7142857142857144,1.2553,8,0.354,0.396,0.368
ammunition,4.88,2.0,2.2878,10,0.338,0.635,0.667
amnesia,3.61,2.0,2.0531,7,0.296,0.33,0.308
amnesty,2.18,2.0,1.6721,7,0.551,0.451,0.814
amount,2.74,1.7142857142857144,3.0056,6,0.562,0.422,0.649
amp,3.59,2.0,1.8692,3,0.439,0.393,0.375
amphibian,3.77,2.7142857142857144,1.2553,9,0.427,0.357,0.474
amphitheater,4.36,2.142857142857143,0.699,12,0.653,0.48,0.545
amplification,2.93,2.428571428571429,0.9542,13,0.69,0.677,0.81
amplitude,2.92,2.2857142857142856,0.8451,9,0.694,0.439,0.692
amputation,3.76,2.428571428571429,1.5185,10,0.1,0.755,0.483
amulet,4.0,1.5714285714285714,1.5798,6,0.781,0.26,0.63
amusement,2.07,2.0,2.1673,9,0.929,0.837,0.803
anaconda,4.93,3.0,1.301,8,0.146,0.83,0.54
anagram,3.63,1.8571428571428572,1.3222,7,0.552,0.327,0.449
analgesic,3.57,2.142857142857143,0.699,9,0.417,0.321,0.441
analogy,1.61,2.2857142857142856,1.7709,7,0.51,0.367,0.509
analysis,2.56,2.142857142857143,2.6365,8,0.729,0.448,0.705
analyst,4.23,2.2857142857142856,2.0414,7,0.604,0.415,0.755
analyzer,2.56,2.142857142857143,1.2788,8,0.625,0.556,0.854
anarchism,1.92,2.0,0.4771,9,0.125,0.804,0.623
anarchist,2.83,2.2857142857142856,1.3424,9,0.204,0.7,0.759
anarchy,2.12,1.7142857142857144,1.8573,7,0.146,0.755,0.62
anatomy,3.59,2.7142857142857144,2.1004,7,0.562,0.39,0.571
ancestor,3.24,2.2857142857142856,1.7559,8,0.592,0.388,0.594
ancestry,2.83,1.8571428571428572,1.3617,8,0.708,0.519,0.717
anchor,4.77,2.428571428571429,2.2765,6,0.52,0.284,0.564
anchorage,3.48,1.7142857142857144,1.3979,9,0.5,0.325,0.639
android,4.22,2.2857142857142856,1.4472,7,0.663,0.436,0.5
anecdote,2.64,2.142857142857143,1.6232,8,0.583,0.529,0.5
anemia,3.25,2.571428571428571,1.4314,6,0.188,0.327,0.31
anemone,4.24,2.571428571428571,0.9031,7,0.552,0.538,0.327
anesthesia,3.41,1.8571428571428572,1.8513,10,0.365,0.216,0.394
anesthesiologist,4.27,3.0,1.3979,16,0.419,0.224,0.526
aneurysm,3.79,2.142857142857143,1.8573,8,0.115,0.69,0.536
angel,3.82,2.0,3.0465,5,0.906,0.158,0.704
anger,2.41,1.8571428571428572,2.8062,5,0.167,0.865,0.657
angle,3.5,2.2857142857142856,2.7466,5,0.541,0.33,0.455
angst,1.96,2.0,1.6532,5,0.167,0.888,0.333
anguish,2.38,2.0,1.9685,7,0.153,0.792,0.265
animal,4.61,1.8571428571428572,3.1377,6,0.521,0.51,0.513
animation,3.41,1.7142857142857144,1.6628,9,0.888,0.75,0.549
animosity,2.11,2.142857142857143,1.4914,9,0.51,0.724,0.545
ankle,4.81,2.142857142857143,2.4579,5,0.5,0.274,0.234
anklet,4.75,2.142857142857143,0.9031,6,0.41,0.276,0.302
annex,4.0,1.8571428571428572,1.4771,5,0.594,0.35,0.458
annexation,2.32,2.571428571428571,0.7782,10,0.342,0.5,0.555
