Word,Concreteness,Spec_3,Lg10CD,length,Valence,Arousal,Dominance
oaf,3.65,2.2857142857142856,1.6232,3,0.344,0.357,0.33
oak,4.82,2.428571428571429,2.2742,3,0.583,0.245,0.536
oar,4.84,2.0,1.4914,3,0.469,0.392,0.316
oasis,4.44,2.0,1.8261,5,0.796,0.283,0.429
oat,5.0,2.7142857142857144,1.3424,3,0.622,0.17,0.298
oath,2.79,1.8571428571428572,2.49,4,0.543,0.615,0.824
oatmeal,4.93,2.142857142857143,2.0969,7,0.592,0.192,0.241
obedience,2.29,2.0,1.8633,9,0.765,0.287,0.536
obesity,3.24,1.8571428571428572,1.3424,7,0.215,0.37,0.328
obituary,4.18,2.0,1.6532,8,0.188,0.33,0.423
object,3.66,1.2857142857142856,2.9159,6,0.531,0.356,0.375
objection,2.29,1.8571428571428572,2.5587,9,0.347,0.592,0.709
objective,2.0,1.8571428571428572,2.433,9,0.724,0.337,0.736
objectivity,1.48,1.7142857142857144,1.5315,11,0.765,0.431,0.711
obligation,2.04,2.0,2.4487,10,0.222,0.596,0.718
obliteration,2.0,2.428571428571429,0.8451,12,0.177,0.622,0.397
oblivion,1.37,2.0,1.9243,8,0.153,0.33,0.282
oboe,4.43,2.7142857142857144,1.0,4,0.51,0.34,0.392
obscenity,2.31,2.0,1.4771,9,0.083,0.843,0.418
obscurity,1.63,1.7142857142857144,1.4314,9,0.208,0.392,0.38
observance,2.45,2.2857142857142856,0.6021,10,0.531,0.315,0.632
observation,2.12,2.0,2.5038,11,0.633,0.433,0.667
observatory,4.48,2.0,1.5051,11,0.643,0.324,0.731
observer,3.88,2.142857142857143,1.9138,8,0.663,0.363,0.603
obsession,1.7,1.7142857142857144,2.3522,9,0.229,0.847,0.571
obstacle,3.48,2.0,2.0334,8,0.204,0.708,0.336
obstetrician,4.31,3.0,1.1461,12,0.521,0.636,0.604
obstruction,3.73,1.8571428571428572,2.0,11,0.125,0.742,0.491
occasion,2.52,1.7142857142857144,2.8407,8,0.7,0.451,0.398
occlusion,2.46,2.142857142857143,0.9031,9,0.306,0.439,0.442
occult,2.59,1.4285714285714286,1.7482,6,0.292,0.382,0.406
occupancy,2.57,1.8571428571428572,1.0414,9,0.625,0.471,0.721
occupant,3.5,2.2857142857142856,1.3424,8,0.5,0.417,0.483
occupation,3.68,1.8571428571428572,2.233,10,0.562,0.47,0.692
occurrence,2.57,1.5714285714285714,1.7634,10,0.573,0.69,0.541
ocean,4.86,1.5714285714285714,2.936,5,0.823,0.308,0.642
octagon,4.43,2.0,0.9031,7,0.602,0.349,0.462
octave,3.31,2.0,0.9542,6,0.438,0.38,0.482
octopus,5.0,1.8571428571428572,1.8129,7,0.713,0.378,0.411
oddball,2.74,2.2857142857142856,1.2041,7,0.316,0.36,0.357
oddity,2.11,2.2857142857142856,0.8451,6,0.312,0.557,0.386
odds,2.24,1.8571428571428572,2.8506,4,0.5,0.472,0.68
ode,2.91,2.142857142857143,1.5315,3,0.604,0.269,0.519
odometer,4.72,2.428571428571429,1.0,8,0.367,0.47,0.388
odor,3.52,1.5714285714285714,2.0,4,0.337,0.363,0.404
odyssey,2.64,2.428571428571429,1.3424,7,0.622,0.692,0.71
offence,3.07,2.0,2.3444,7,0.312,0.798,0.446
offender,3.88,2.2857142857142856,2.0086,8,0.104,0.851,0.537
offense,2.03,2.0,2.8407,7,0.23,0.765,0.51
office,4.93,2.142857142857143,3.5994,6,0.427,0.302,0.509
officer,4.8,2.571428571428571,3.3069,7,0.542,0.43,0.877
offshoot,2.88,1.7142857142857144,0.9031,8,0.517,0.33,0.361
offspring,3.93,2.2857142857142856,2.0374,9,0.656,0.435,0.6
ogre,3.97,2.428571428571429,1.4472,4,0.135,0.698,0.51
oil,4.93,3.2857142857142856,3.0253,3,0.521,0.278,0.306
ointment,4.5,2.2857142857142856,1.8062,8,0.438,0.271,0.398
okra,4.78,2.428571428571429,1.2304,4,0.469,0.4,0.362
oldie,2.57,2.0,1.3424,5,0.363,0.363,0.342
omega,3.08,1.8571428571428572,1.6435,5,0.529,0.337,0.526
omelet,4.93,2.0,1.9294,6,0.708,0.323,0.315
omen,2.69,2.0,1.7853,4,0.39,0.657,0.583
omission,1.89,2.0,1.301,8,0.367,0.333,0.275
omnipotence,1.58,1.5714285714285714,0.9031,11,0.667,0.793,0.866
oncologist,3.96,3.0,1.4624,10,0.26,0.654,0.64
oncology,3.0,2.7142857142857144,1.3424,8,0.204,0.424,0.5
oneness,1.96,1.8571428571428572,1.2553,7,0.745,0.272,0.72
onion,4.86,2.2857142857142856,2.1847,5,0.378,0.367,0.382
onset,2.14,2.0,1.6128,5,0.673,0.497,0.5
onslaught,2.35,1.8571428571428572,1.2553,9,0.198,0.939,0.717
onyx,4.64,3.142857142857143,1.0792,4,0.571,0.461,0.38
oomph,1.52,2.0,1.3617,5,0.449,0.613,0.315
opacity,2.93,1.8571428571428572,0.301,7,0.471,0.251,0.256
opal,4.42,2.857142857142857,1.1761,4,0.623,0.479,0.379
opener,3.81,2.0,2.017,6,0.584,0.526,0.377
opening,3.79,2.2857142857142856,3.1339,7,0.667,0.51,0.62
openness,1.9,1.8571428571428572,1.301,8,0.837,0.561,0.667
opera,4.28,2.142857142857143,2.5763,5,0.714,0.5,0.483
operation,3.44,1.7142857142857144,3.0785,9,0.475,0.611,0.755
operator,4.21,1.7142857142857144,2.6776,8,0.612,0.63,0.726
ophthalmologist,4.32,3.0,1.1139,15,0.552,0.389,0.491
opiate,4.17,2.142857142857143,1.301,6,0.281,0.594,0.598
opinion,1.93,1.8571428571428572,3.1556,7,0.594,0.482,0.638
opium,4.56,2.2857142857142856,1.7924,5,0.276,0.49,0.333
opponent,3.52,2.2857142857142856,2.2625,8,0.08,0.741,0.716
opportunism,2.36,1.8571428571428572,0.301,11,0.571,0.752,0.673
opportunity,1.88,1.8571428571428572,3.1861,11,0.938,0.745,0.833
opposition,2.25,1.8571428571428572,2.0569,10,0.135,0.729,0.592
oppression,2.0,2.428571428571429,1.8062,10,0.08,0.673,0.615
oppressor,2.76,2.428571428571429,1.2553,9,0.16,0.776,0.629
optic,3.46,2.0,1.5911,5,0.663,0.384,0.594
optics,3.29,2.428571428571429,1.5051,6,0.562,0.286,0.58
optimism,1.48,1.8571428571428572,1.8751,8,0.949,0.565,0.814
optimist,1.9,2.142857142857143,1.8692,8,0.875,0.539,0.787
option,2.39,2.142857142857143,2.7528,6,0.512,0.427,0.359
optometrist,4.89,2.428571428571429,1.1461,11,0.446,0.455,0.668
opus,3.25,1.7142857142857144,1.6021,4,0.458,0.368,0.391
oracle,2.88,2.571428571428571,1.5798,6,0.552,0.531,0.67
orangutan,4.81,3.142857142857143,1.301,9,0.43,0.56,0.471
orator,4.0,2.571428571428571,0.9031,6,0.667,0.375,0.682
oratory,2.87,2.0,0.9031,7,0.602,0.472,0.693
orb,4.12,2.0,1.8325,3,0.463,0.37,0.444
orbit,3.93,1.8571428571428572,2.1553,5,0.561,0.422,0.575
orchard,4.75,2.2857142857142856,1.7076,7,0.76,0.269,0.333
orchestra,4.79,1.8571428571428572,2.2788,9,0.708,0.5,0.664
orchid,4.92,2.571428571428571,1.6812,6,0.84,0.345,0.382
ordeal,2.04,1.8571428571428572,2.0645,6,0.344,0.539,0.529
order,2.79,2.0,3.5827,5,0.78,0.295,0.814
ordinance,2.9,1.8571428571428572,1.8129,9,0.615,0.452,0.776
ordination,2.19,1.7142857142857144,0.699,10,0.688,0.49,0.765
ordnance,2.96,2.142857142857143,1.5563,8,0.354,0.825,0.679
ore,4.48,2.2857142857142856,1.6435,3,0.5,0.333,0.356
oregano,4.81,2.428571428571429,1.5441,7,0.596,0.327,0.25
organ,4.77,1.7142857142857144,2.3927,5,0.51,0.469,0.538
organism,4.16,1.7142857142857144,1.8195,8,0.457,0.559,0.8
organist,4.0,2.571428571428571,1.1461,8,0.74,0.469,0.669
organization,3.0,1.5714285714285714,2.6464,12,0.81,0.535,0.851
organizer,3.58,2.428571428571429,1.3222,9,0.604,0.577,0.846
orgasm,3.97,2.571428571428571,2.1072,6,0.844,0.863,0.676
orgy,3.67,2.428571428571429,1.8921,4,0.346,0.962,0.536
orientation,2.43,2.0,2.0043,11,0.667,0.454,0.686
orifice,4.36,2.0,1.4771,7,0.448,0.355,0.443
origami,4.38,2.142857142857143,1.3424,7,0.684,0.276,0.294
origin,2.03,1.7142857142857144,2.2304,6,0.729,0.435,0.591
originality,1.86,1.7142857142857144,1.4624,11,0.898,0.5,0.824
origination,2.07,1.8571428571428572,0.699,11,0.76,0.443,0.604
originator,2.52,2.2857142857142856,0.6021,10,0.592,0.51,0.868
ornament,4.04,1.7142857142857144,1.716,8,0.561,0.373,0.441
ornamentation,3.36,1.5714285714285714,0.6021,13,0.663,0.471,0.472
orphan,4.04,2.428571428571429,2.281,6,0.133,0.388,0.14
orphanage,4.65,1.7142857142857144,2.1367,9,0.184,0.439,0.425
orthodontist,4.43,2.857142857142857,1.3222,12,0.469,0.615,0.564
ostrich,4.71,2.142857142857143,1.5315,7,0.592,0.382,0.241
otter,4.86,2.7142857142857144,1.4472,5,0.439,0.216,0.339
ottoman,4.9,2.857142857142857,1.2041,7,0.531,0.337,0.444
ounce,3.86,2.142857142857143,2.1644,5,0.531,0.255,0.288
outage,2.83,1.5714285714285714,1.2553,6,0.306,0.684,0.438
outback,3.56,2.142857142857143,1.4771,7,0.5,0.324,0.43
outboard,4.07,2.7142857142857144,1.301,8,0.448,0.491,0.456
outbreak,3.04,1.7142857142857144,1.8388,8,0.26,0.632,0.472
outburst,2.76,1.8571428571428572,1.8261,8,0.209,0.802,0.528
outcast,2.62,2.2857142857142856,1.7243,7,0.153,0.449,0.353
outcome,2.27,1.8571428571428572,2.243,7,0.615,0.472,0.685
outcry,3.23,1.7142857142857144,1.1139,6,0.271,0.773,0.718
outfit,4.12,1.8571428571428572,2.9238,6,0.76,0.49,0.566
outgrowth,3.46,1.7142857142857144,0.4771,9,0.771,0.62,0.688
outhouse,4.89,2.142857142857143,1.5315,8,0.281,0.519,0.255
outing,2.72,2.428571428571429,1.6628,6,0.771,0.672,0.634
outlaw,3.61,2.571428571428571,1.9191,6,0.255,0.662,0.482
outlet,4.31,2.142857142857143,1.9243,6,0.61,0.396,0.245
outline,3.61,2.0,1.9345,7,0.542,0.365,0.509
outlook,1.97,1.7142857142857144,1.8513,7,0.83,0.525,0.625
outpatient,3.24,2.7142857142857144,1.4624,10,0.26,0.4,0.395
outpost,4.04,2.0,1.7076,7,0.635,0.571,0.675
outpouring,2.46,1.5714285714285714,1.1461,10,0.562,0.685,0.552
output,2.48,2.0,1.7924,6,0.604,0.389,0.434
outrage,2.45,2.0,2.1614,7,0.06,0.689,0.542
outreach,2.57,2.2857142857142856,1.3222,8,0.54,0.462,0.672
outset,2.21,1.5714285714285714,1.2304,6,0.75,0.5,0.582
outsider,2.33,2.857142857142857,1.9912,8,0.398,0.549,0.447
outskirts,3.17,2.0,1.5798,9,0.474,0.519,0.312
ovary,4.18,2.142857142857143,1.1461,5,0.469,0.399,0.28
ovation,3.45,1.8571428571428572,1.6532,7,0.719,0.758,0.75
oven,4.97,2.571428571428571,2.5211,4,0.583,0.425,0.606
overalls,4.74,2.428571428571429,1.6532,8,0.5,0.392,0.373
overcoat,4.5,2.7142857142857144,1.7482,8,0.594,0.265,0.43
overdrive,2.96,1.7142857142857144,1.3979,9,0.303,0.715,0.732
overflow,3.72,2.2857142857142856,1.6532,8,0.398,0.792,0.5
overhaul,2.97,2.571428571428571,1.3424,8,0.5,0.651,0.491
overkill,2.32,1.8571428571428572,1.4472,8,0.379,0.861,0.678
overlap,3.07,1.8571428571428572,1.4314,7,0.594,0.615,0.627
overlay,3.3,2.0,1.4314,7,0.564,0.596,0.749
overload,2.69,2.0,1.8513,8,0.381,0.69,0.652
overlord,3.61,2.2857142857142856,1.0414,8,0.75,0.755,0.932
overpass,4.11,2.0,1.3617,8,0.562,0.561,0.565
override,2.58,2.0,2.0607,8,0.316,0.491,0.529
overseer,3.73,2.571428571428571,1.1139,8,0.552,0.52,0.873
oversight,1.57,2.2857142857142856,1.8388,9,0.385,0.618,0.723
overtime,2.8,1.8571428571428572,2.4183,8,0.447,0.504,0.529
overture,3.08,1.7142857142857144,1.7559,8,0.49,0.402,0.491
overview,3.28,1.8571428571428572,1.3617,8,0.615,0.38,0.539
owl,4.93,2.571428571428571,2.1399,3,0.52,0.27,0.321
owner,3.78,2.571428571428571,2.9299,5,0.776,0.449,0.92
ownership,2.42,1.4285714285714286,1.9823,9,0.628,0.445,0.741
ox,4.86,3.4285714285714284,2.2553,2,0.417,0.396,0.412
oxidation,3.33,1.8571428571428572,1.0414,9,0.453,0.415,0.211
oxide,3.87,2.428571428571429,1.6435,5,0.354,0.377,0.298
oxygen,3.66,2.428571428571429,2.6021,6,0.908,0.31,0.575
oxymoron,1.68,2.0,1.1461,8,0.427,0.481,0.398
oyster,4.85,2.428571428571429,2.017,6,0.5,0.311,0.327
ozone,3.5,1.7142857142857144,1.7559,5,0.56,0.345,0.518
pace,3.11,1.7142857142857144,2.5289,4,0.51,0.38,0.39
pacemaker,4.68,2.142857142857143,1.4624,9,0.448,0.569,0.582
pacifier,4.61,2.571428571428571,1.1461,8,0.615,0.342,0.356
pacifist,2.44,2.2857142857142856,1.5051,8,0.663,0.153,0.557
package,4.72,1.5714285714285714,2.8488,7,0.571,0.433,0.443
packaging,4.44,2.2857142857142856,1.5911,9,0.604,0.393,0.549
packer,3.96,2.571428571428571,1.1139,6,0.52,0.48,0.537
packet,4.46,1.5714285714285714,1.9868,6,0.582,0.385,0.407
pact,2.52,2.571428571428571,2.0645,4,0.442,0.444,0.593
pad,4.43,2.2857142857142856,2.5159,3,0.684,0.279,0.33
padding,4.52,1.7142857142857144,1.6021,7,0.561,0.398,0.423
paddle,4.8,2.428571428571429,2.0334,6,0.561,0.375,0.393
paddock,4.22,2.2857142857142856,1.0792,7,0.48,0.429,0.481
padlock,4.92,2.428571428571429,1.4624,7,0.459,0.284,0.457
padre,4.6,2.7142857142857144,2.0294,5,0.684,0.407,0.647
paganism,2.2,3.0,0.301,8,0.24,0.64,0.411
page,4.9,2.571428571428571,3.0596,4,0.677,0.224,0.278
pageant,4.0,2.0,1.8573,7,0.719,0.667,0.651
pager,4.57,2.142857142857143,2.0334,5,0.51,0.526,0.554
paging,3.42,1.7142857142857144,1.8261,6,0.542,0.398,0.423
pagoda,4.67,2.2857142857142856,1.3222,6,0.571,0.259,0.435
pail,4.93,2.142857142857143,1.6128,4,0.448,0.177,0.188
pain,3.5,2.0,3.4098,4,0.012,0.765,0.395
painkiller,4.18,2.142857142857143,1.4314,10,0.487,0.312,0.481
pains,3.65,2.0,2.3655,5,0.106,0.673,0.362
paintball,4.79,2.142857142857143,1.301,9,0.615,0.745,0.537
paintbrush,4.79,2.428571428571429,1.2304,10,0.714,0.226,0.353
painter,4.52,2.428571428571429,2.2856,7,0.677,0.366,0.487
painting,4.59,2.142857142857143,2.8062,8,0.792,0.324,0.333
pair,3.88,1.7142857142857144,3.1329,4,0.552,0.317,0.304
pajama,4.85,2.571428571428571,1.5563,6,0.908,0.157,0.245
pajamas,4.73,2.571428571428571,2.3139,7,0.719,0.17,0.264
pal,3.93,2.2857142857142856,3.2049,3,0.812,0.426,0.596
palace,4.57,2.571428571428571,2.6425,6,0.878,0.51,0.804
palate,3.73,2.142857142857143,1.6902,6,0.625,0.35,0.358
paleontology,3.2,2.428571428571429,1.1761,12,0.438,0.308,0.617
palette,4.3,2.0,1.415,7,0.59,0.333,0.205
pallet,4.59,2.0,1.1761,6,0.604,0.241,0.349
palm,4.83,1.8571428571428572,2.6395,4,0.531,0.194,0.34
palsy,2.76,2.428571428571429,1.3222,5,0.083,0.446,0.221
pamphlet,4.61,2.428571428571429,1.6335,8,0.53,0.25,0.327
pan,4.86,2.428571428571429,2.5647,3,0.734,0.182,0.364
panache,1.61,1.7142857142857144,0.9542,7,0.51,0.363,0.306
pancake,4.86,2.0,2.0828,7,0.802,0.274,0.364
pancreas,4.79,2.142857142857143,1.5315,8,0.469,0.302,0.366
panda,4.75,2.857142857142857,1.5798,5,0.646,0.194,0.406
pandemonium,2.24,1.8571428571428572,1.4472,11,0.229,0.885,0.5
pane,3.86,2.0,1.3424,4,0.385,0.25,0.444
panel,4.26,1.8571428571428572,2.4048,5,0.469,0.321,0.425
pang,2.7,1.7142857142857144,1.5051,4,0.146,0.595,0.455
panhandle,3.75,1.8571428571428572,1.1139,9,0.441,0.431,0.414
panic,3.04,2.0,2.8993,5,0.062,0.938,0.4
panorama,3.41,2.142857142857143,0.7782,8,0.719,0.402,0.625
pansy,3.89,2.428571428571429,1.7404,5,0.653,0.283,0.589
pant,4.38,2.0,1.6021,4,0.448,0.463,0.409
panther,4.93,3.0,1.6721,7,0.303,0.594,0.682
panties,4.9,2.7142857142857144,2.4183,7,0.594,0.529,0.312
pantomime,3.84,2.857142857142857,1.2041,9,0.552,0.481,0.385
pantry,4.67,2.2857142857142856,1.8451,6,0.622,0.294,0.312
pants,4.86,2.7142857142857144,3.2482,5,0.673,0.32,0.333
pantyhose,5.0,2.7142857142857144,1.7924,9,0.57,0.539,0.25
papa,4.43,3.0,2.7574,4,0.656,0.34,0.527
papaya,4.87,2.7142857142857144,1.4314,6,0.63,0.306,0.3
paper,4.93,2.142857142857143,3.4195,5,0.52,0.123,0.293
paperback,4.57,2.142857142857143,1.2788,9,0.633,0.269,0.314
paperboy,4.86,2.571428571428571,1.1461,8,0.521,0.49,0.471
paperweight,4.78,1.8571428571428572,1.2553,11,0.421,0.278,0.433
paperwork,4.63,2.0,2.6345,9,0.448,0.355,0.422
paprika,5.0,2.571428571428571,1.4624,7,0.417,0.25,0.264
papyrus,4.44,2.2857142857142856,0.6021,7,0.459,0.24,0.324
par,2.26,1.8571428571428572,2.2041,3,0.615,0.372,0.429
parable,1.89,2.142857142857143,1.0,7,0.479,0.357,0.525
parachute,4.78,2.142857142857143,2.0828,9,0.562,0.787,0.564
parade,4.54,2.2857142857142856,2.6253,6,0.792,0.685,0.509
paradigm,1.73,1.8571428571428572,1.3424,8,0.573,0.429,0.779
paradise,2.72,1.7142857142857144,2.6243,8,0.875,0.54,0.796
paradox,1.54,2.0,1.6628,7,0.417,0.442,0.482
paragraph,3.96,1.7142857142857144,2.0414,9,0.51,0.164,0.269
parakeet,4.9,2.571428571428571,1.6021,8,0.576,0.387,0.227
parallelism,1.86,1.8571428571428572,0.301,11,0.549,0.363,0.527
paralysis,3.52,2.428571428571429,1.9031,9,0.156,0.5,0.305
paramedics,4.37,2.571428571428571,2.2856,10,0.479,0.594,0.712
paranoia,1.74,2.142857142857143,2.0645,8,0.146,0.841,0.407
paraphernalia,3.67,2.0,1.4472,13,0.443,0.726,0.509
parasite,4.34,1.8571428571428572,1.9243,8,0.092,0.442,0.324
parcel,4.81,2.0,1.7559,6,0.66,0.324,0.411
parchment,4.48,2.2857142857142856,1.5051,9,0.615,0.228,0.455
pardon,2.24,2.0,3.2526,6,0.552,0.413,0.542
parent,4.56,2.7142857142857144,2.6776,6,0.812,0.357,0.86
parentage,2.87,1.8571428571428572,0.9542,9,0.903,0.382,0.595
parenthesis,4.78,2.142857142857143,0.6021,11,0.51,0.255,0.38
parenthood,2.55,1.8571428571428572,1.5682,10,0.75,0.63,0.782
pariah,3.33,2.2857142857142856,1.2788,6,0.397,0.478,0.293
parish,3.81,1.8571428571428572,1.9956,6,0.698,0.354,0.582
park,4.74,2.0,3.2732,4,0.816,0.343,0.414
parka,4.65,2.857142857142857,1.3617,5,0.469,0.481,0.395
parking,3.85,1.7142857142857144,2.9685,7,0.777,0.469,0.51
parlay,2.57,2.7142857142857144,1.3617,6,0.469,0.611,0.483
parliament,3.76,2.0,1.7924,10,0.573,0.54,0.858
parlor,4.28,2.2857142857142856,2.3598,6,0.5,0.327,0.366
parmesan,4.67,2.428571428571429,1.5563,8,0.698,0.321,0.382
parody,2.56,1.8571428571428572,1.3617,6,0.561,0.651,0.375
parole,2.66,2.428571428571429,2.4639,6,0.388,0.62,0.526
parrot,5.0,2.428571428571429,1.9823,6,0.588,0.333,0.292
parsley,4.77,2.2857142857142856,1.5315,7,0.458,0.17,0.291
part,3.29,1.4285714285714286,3.7486,4,0.663,0.278,0.36
partiality,1.72,1.8571428571428572,0.4771,10,0.375,0.38,0.49
participant,3.38,2.428571428571429,1.3979,11,0.712,0.598,0.613
participation,2.86,1.8571428571428572,1.9777,13,0.781,0.7,0.702
particle,3.78,2.142857142857143,1.7482,8,0.521,0.265,0.438
particulars,1.5,1.8571428571428572,1.716,11,0.604,0.348,0.525
parting,2.79,1.8571428571428572,2.0128,7,0.26,0.542,0.353
partition,3.72,1.8571428571428572,1.3222,9,0.615,0.469,0.567
partner,3.53,2.428571428571429,3.2487,7,0.673,0.302,0.586
partnership,2.82,2.0,2.2601,11,0.786,0.387,0.545
partridge,4.0,2.142857142857143,1.7076,9,0.583,0.415,0.25
party,3.89,1.7142857142857144,3.5711,5,0.948,0.84,0.547
passage,3.8,2.142857142857143,2.4654,7,0.429,0.314,0.37
passageway,4.67,2.0,1.6902,10,0.49,0.389,0.4
passenger,4.34,2.2857142857142856,2.4579,9,0.717,0.413,0.481
passion,2.3,1.7142857142857144,2.8603,7,0.854,0.865,0.728
passivity,1.6,1.7142857142857144,0.6021,9,0.241,0.115,0.246
passkey,4.19,2.142857142857143,1.2788,7,0.646,0.5,0.791
passport,5.0,1.8571428571428572,2.4564,8,0.653,0.457,0.682
password,3.83,2.428571428571429,2.2833,8,0.39,0.356,0.559
past,1.7,1.5714285714285714,3.5604,4,0.49,0.422,0.311
pasta,4.86,2.0,2.1461,5,0.615,0.306,0.375
paste,4.45,2.2857142857142856,1.8573,5,0.5,0.556,0.5
pastime,2.5,2.0,1.5911,7,0.677,0.353,0.443
pastor,4.37,2.571428571428571,1.8808,6,0.698,0.236,0.746
pastrami,4.74,2.0,1.5682,8,0.542,0.415,0.348
pastry,4.97,2.142857142857143,1.8808,6,0.87,0.407,0.419
pasture,4.78,2.7142857142857144,1.8261,7,0.688,0.145,0.17
patch,4.7,2.142857142857143,2.7177,5,0.439,0.288,0.283
patchwork,3.67,2.0,0.7782,9,0.5,0.26,0.325
patella,4.61,2.428571428571429,1.0792,7,0.43,0.26,0.342
patent,3.32,1.8571428571428572,1.9243,6,0.724,0.391,0.609
paternity,2.59,1.5714285714285714,1.6021,9,0.704,0.59,0.806
path,4.41,2.0,2.94,4,0.59,0.245,0.421
pathologist,4.27,3.0,1.5315,11,0.354,0.552,0.585
pathology,2.41,2.571428571428571,1.7993,9,0.271,0.56,0.558
pathos,1.48,1.5714285714285714,1.1139,6,0.35,0.449,0.462
pathway,4.28,2.2857142857142856,1.5441,7,0.646,0.41,0.519
patience,1.66,2.0,2.7589,8,0.771,0.125,0.387
patient,2.5,2.571428571428571,3.1647,7,0.583,0.193,0.34
patio,4.89,2.0,2.0374,5,0.562,0.245,0.402
patriarch,3.54,2.428571428571429,1.1461,9,0.592,0.448,0.898
patrimony,2.09,2.0,0.301,9,0.719,0.406,0.74
patriot,3.36,2.2857142857142856,1.9823,7,0.771,0.635,0.886
patriotism,2.0,1.8571428571428572,1.8573,10,0.708,0.635,0.848
patrol,3.86,2.2857142857142856,2.7007,6,0.427,0.664,0.736
patrolman,4.67,2.571428571428571,1.6021,9,0.469,0.731,0.884
patron,3.72,2.571428571428571,2.0607,6,0.583,0.451,0.87
patronage,2.04,2.2857142857142856,1.2553,9,0.583,0.49,0.583
patter,2.93,2.0,1.3802,6,0.312,0.635,0.451
pattern,3.92,1.7142857142857144,2.7185,7,0.479,0.422,0.664
pauper,3.8,2.428571428571429,1.3222,6,0.26,0.347,0.151
pause,2.38,1.5714285714285714,2.3139,5,0.429,0.188,0.264
pavement,4.72,2.142857142857143,1.9685,8,0.46,0.353,0.475
pavilion,4.59,2.142857142857143,1.5682,8,0.583,0.5,0.77
paw,4.3,2.2857142857142856,2.0531,3,0.417,0.36,0.286
pawn,3.9,2.2857142857142856,2.1367,4,0.39,0.321,0.187
pawnshop,4.86,2.428571428571429,1.4314,8,0.396,0.439,0.519
payback,2.55,2.428571428571429,2.238,7,0.459,0.5,0.567
paycheck,4.41,2.428571428571429,2.2355,8,0.896,0.63,0.652
payday,3.36,2.0,1.9912,6,0.833,0.741,0.571
payer,3.83,2.2857142857142856,0.9542,5,0.313,0.63,0.638
payload,3.82,2.428571428571429,1.4771,7,0.612,0.51,0.682
payment,3.91,2.0,2.616,7,0.629,0.452,0.643
payoff,2.74,2.142857142857143,1.9685,6,0.74,0.644,0.673
payroll,3.7,1.8571428571428572,2.2553,7,0.521,0.36,0.549
pea,4.9,2.142857142857143,2.1072,3,0.58,0.275,0.298
peace,1.62,1.7142857142857144,3.2714,5,0.939,0.156,0.613
peacekeeper,3.3,2.857142857142857,0.6021,11,0.865,0.32,0.644
peacetime,2.44,1.7142857142857144,1.3222,9,0.949,0.18,0.579
peach,4.9,2.7142857142857144,2.3284,5,0.704,0.48,0.272
peak,4.2,1.7142857142857144,2.3345,4,0.5,0.345,0.431
peanut,4.89,2.428571428571429,2.5599,6,0.646,0.202,0.246
peanuts,4.9,1.8571428571428572,2.3304,7,0.542,0.294,0.324
pear,4.93,3.142857142857143,1.6532,4,0.677,0.158,0.241
peasant,3.96,2.428571428571429,2.0899,7,0.53,0.275,0.407
pebble,4.86,1.8571428571428572,1.699,6,0.354,0.353,0.287
pecan,4.87,2.428571428571429,1.5682,5,0.552,0.316,0.358
pecker,4.23,2.142857142857143,1.8451,6,0.459,0.509,0.375
peculiarity,1.96,2.2857142857142856,0.7782,11,0.439,0.452,0.652
pedal,4.44,2.142857142857143,1.9345,5,0.5,0.32,0.342
peddler,4.52,2.7142857142857144,1.3979,7,0.408,0.481,0.39
pedestal,4.48,2.142857142857143,1.6532,8,0.735,0.284,0.579
pedestrian,4.41,2.2857142857142856,1.7559,10,0.438,0.36,0.448
pediatrician,4.57,3.0,1.7782,12,0.602,0.5,0.627
pediatrics,2.97,2.7142857142857144,1.3979,10,0.75,0.38,0.596
pedicure,4.36,2.857142857142857,1.6232,8,0.695,0.269,0.296
pedigree,2.79,1.8571428571428572,1.5682,8,0.625,0.34,0.609
pedometer,4.93,2.2857142857142856,0.301,9,0.469,0.561,0.405
pedophile,3.37,2.7142857142857144,1.5563,9,0.051,0.724,0.43
peek,3.62,2.2857142857142856,2.356,4,0.486,0.36,0.411
peekaboo,3.23,2.142857142857143,1.5563,8,0.592,0.607,0.412
peep,3.37,2.0,2.2695,4,0.573,0.317,0.269
peeper,3.54,2.428571428571429,1.2553,6,0.182,0.537,0.343
peephole,4.74,2.0,1.3617,8,0.479,0.5,0.31
peer,3.83,2.142857142857143,1.8062,4,0.458,0.321,0.569
pelican,4.96,2.857142857142857,1.5911,7,0.573,0.391,0.38
pellet,4.56,2.0,1.3617,6,0.448,0.39,0.466
pelvis,4.93,2.142857142857143,1.8865,6,0.378,0.618,0.38
pen,4.92,2.142857142857143,2.9122,3,0.622,0.194,0.25
penalty,2.86,2.0,2.4886,7,0.062,0.49,0.24
penance,1.52,2.142857142857143,1.7782,7,0.219,0.667,0.463
pencil,4.88,2.142857142857143,2.5933,6,0.552,0.2,0.263
pendant,4.75,2.0,1.4624,7,0.676,0.321,0.385
pendulum,4.69,2.142857142857143,1.2553,8,0.542,0.368,0.434
penetration,3.52,2.142857142857143,1.7634,11,0.438,0.885,0.792
penguin,5.0,2.857142857142857,1.7853,7,0.615,0.296,0.307
penicillin,4.43,2.428571428571429,1.9031,10,0.417,0.431,0.566
peninsula,4.86,1.5714285714285714,1.6902,9,0.551,0.384,0.627
